0101,11
0102,12
0103,13
0201,15
0202,16
0203,17
0204,18
0301,20
0302,21
0303,22
0304,23
0305,24
0306,25
0307,26
0401,28
0402,29
0403,30
1006,32
1103,33
1104,34
1107,35
1202,36
1203,37
0501,40
0502,41
0503,42
0504,43
0505,44
0506,45
0507,46
0601,48
0602,49
0603,50
0604,51
0701,53
0702,54
0801,56
0802,57
0803,58
0804,59
0805,60
0806,61
0807,62
0808,63
0809,64
0810,65
0901,67
0902,68
0903,69
0904,70
0905,71
0906,72
1001,74
1002,75
1003,76
1004,77
1005,78
1007,79
1008,80
1009,81
1109,83
1201,85
0404,88
1101,90
1102,91
1105,92
1106,93
1108,94
1110,95
1204,96
1205,98
1206,99
1207,100
